Id,Name,Normal count,Golden count
2539,Flame Lance,2,0
2541,Effigy,0,0
2545,Fallen Hero,0,0
2572,Arcane Blast,0,0
2542,Polymorph: Boar,0,0
2549,Dalaran Aspirant,1,0
2571,Spellslinger,2,0
2544,Coldarra Drake,0,0
2546,Rhonin,0,0
2552,Ram Wrangler,0,0
2555,Holy Champion,2,0
2551,Spawn of Shadows,0,0
2568,Power Word: Glory,1,0
2566,Shadowfiend,0,0
2563,Convert,0,0
2564,Confuse,0,0
2569,Twilight Guardian,0,0
2556,Confessor Paletress,0,0
2822,Dreadsteed,0,0
2624,Fearsome Doomguard,2,0
2777,Tiny Knight of Evil,0,0
2628,Fist of Jaraxxus,0,0
2537,Void Crusher,0,0
2535,Demonfuse,0,0
2632,Dark Bargain,0,0
2623,Wrathguard,2,0
2621,Wilfred Fizzlebang,0,0
2765,Shado-Pan Rider,0,0
2715,Buccaneer,2,0
2767,Undercity Valiant,2,0
2766,Cutpurse,0,0
2768,Shady Dealer,0,0
2770,Burgle,0,0
2763,Poisoned Blade,0,0
2587,Beneath the Grounds,0,0
2586,Anub'arak,0,0
2792,Living Roots,2,0
2782,Darnassus Aspirant,0,0
2780,Savage Combatant,0,0
2786,Wildwalker,2,0
2788,Knight of the Wild,0,0
2783,Druid of the Saber,2,0
2785,Astral Communion,0,0
2793,Mulch,0,0
2796,Aviana,0,0
2513,Tuskarr Totemic,2,0
2613,Draenei Totemcarver,1,0
2612,Healing Wave,0,0
2615,Thunder Bluff Valiant,0,0
2617,Charged Hammer,0,0
2620,Elemental Destruction,0,0
2610,Totem Golem,2,0
2514,Ancestral Knowledge,2,0
2618,The Mistcaller,0,0
2582,Flash Heal,2,0
2638,Powershot,0,0
2639,Stablemaster,0,0
2635,King's Elekk,2,0
2642,Brave Archer,2,0
2641,Bear Trap,1,0
2484,Lock and Load,0,0
2483,Ball of Spiders,0,0
2633,Acidmaw,0,0
2634,Dreadscale,0,0
2729,Bash,2,0
2756,King's Defender,0,0
2711,Orgrimmar Aspirant,1,0
2753,Magnataur Alpha,0,0
2754,Bolster,1,0
2733,Sparring Partner,0,0
2757,Skycap'n Kragg,0,0
2758,Alexstrasza's Champion,0,0
2760,Varian Wrynn,0,0
2648,Competitive Spirit,0,0
2717,Seal of Champions,2,0
2515,Warhorse Trainer,0,0
